Iteration,TotalNodes,MemoryBytes,Phase
603,2,512,Morning_Clean
604,2,512,Morning_Clean
605,2,512,Morning_Clean
606,2,512,Morning_Clean
607,2,512,Morning_Clean
608,2,512,Morning_Clean
609,2,512,Morning_Clean
610,2,512,Morning_Clean
611,2,512,Morning_Clean
612,2,512,Morning_Clean
613,2,512,Morning_Clean
614,2,512,Morning_Clean
615,2,512,Morning_Clean
616,2,512,Morning_Clean
617,2,512,Morning_Clean
618,2,512,Morning_Clean
619,2,512,Morning_Clean
620,2,512,Morning_Clean
621,2,512,Morning_Clean
622,2,512,Morning_Clean
623,2,512,Morning_Clean
624,2,512,Morning_Clean
625,2,512,Morning_Clean
626,2,512,Morning_Clean
627,2,512,Morning_Clean
628,2,512,Morning_Clean
629,2,512,Morning_Clean
630,2,512,Morning_Clean
631,2,512,Morning_Clean
632,2,512,Morning_Clean
633,2,512,Morning_Clean
634,2,512,Morning_Clean
635,2,512,Morning_Clean
636,2,512,Morning_Clean
637,2,512,Morning_Clean
638,2,512,Morning_Clean
639,2,512,Morning_Clean
640,2,512,Morning_Clean
641,2,512,Morning_Clean
642,2,512,Morning_Clean
643,2,512,Morning_Clean
644,2,512,Morning_Clean
645,2,512,Morning_Clean
646,2,512,Morning_Clean
647,2,512,Morning_Clean
648,2,512,Morning_Clean
649,2,512,Morning_Clean
650,2,512,Morning_Clean
651,2,512,Morning_Clean
652,2,512,Morning_Clean
653,2,512,Morning_Clean
654,2,512,Morning_Clean
655,2,512,Morning_Clean
656,2,512,Morning_Clean
657,2,512,Morning_Clean
658,2,512,Morning_Clean
659,2,512,Morning_Clean
660,2,512,Morning_Clean
661,2,512,Morning_Clean
662,2,512,Morning_Clean
663,2,512,Morning_Clean
664,2,512,Morning_Clean
665,2,512,Morning_Clean
666,2,512,Morning_Clean
667,2,512,Morning_Clean
668,2,512,Morning_Clean
669,2,512,Morning_Clean
670,2,512,Morning_Clean
671,2,512,Morning_Clean
672,2,512,Morning_Clean
673,2,512,Morning_Clean
674,2,512,Morning_Clean
675,2,512,Morning_Clean
676,2,512,Morning_Clean
677,2,512,Morning_Clean
678,2,512,Morning_Clean
679,2,512,Morning_Clean
680,2,512,Morning_Clean
681,2,512,Morning_Clean
682,2,512,Morning_Clean
683,2,512,Morning_Clean
684,2,512,Morning_Clean
685,2,512,Morning_Clean
686,2,512,Morning_Clean
687,2,512,Morning_Clean
688,2,512,Morning_Clean
689,2,512,Morning_Clean
690,2,512,Morning_Clean
691,2,512,Morning_Clean
692,2,512,Morning_Clean
693,2,512,Morning_Clean
694,2,512,Morning_Clean
695,2,512,Morning_Clean
696,2,512,Morning_Clean
697,2,512,Morning_Clean
698,2,512,Morning_Clean
699,2,512,Morning_Clean
700,2,512,Morning_Clean
701,2,512,Morning_Clean
702,2,512,Morning_Clean
703,2,512,Morning_Clean
704,2,512,Morning_Clean
705,2,512,Morning_Clean
706,2,512,Morning_Clean
707,2,512,Morning_Clean
708,2,512,Morning_Clean
709,2,512,Morning_Clean
710,2,512,Morning_Clean
711,2,512,Morning_Clean
712,2,512,Morning_Clean
713,2,512,Morning_Clean
714,2,512,Morning_Clean
715,2,512,Morning_Clean
716,2,512,Morning_Clean
717,2,512,Morning_Clean
718,2,512,Morning_Clean
719,2,512,Morning_Clean
720,2,512,Morning_Clean
721,2,512,Morning_Clean
722,2,512,Morning_Clean
723,2,512,Morning_Clean
724,2,512,Morning_Clean
725,2,512,Morning_Clean
726,2,512,Morning_Clean
727,2,512,Morning_Clean
728,2,512,Morning_Clean
729,2,512,Morning_Clean
730,2,512,Morning_Clean
731,2,512,Morning_Clean
732,2,512,Morning_Clean
733,2,512,Morning_Clean
734,2,512,Morning_Clean
735,2,512,Morning_Clean
736,2,512,Morning_Clean
737,2,512,Morning_Clean
738,2,512,Morning_Clean
739,2,512,Morning_Clean
740,2,512,Morning_Clean
741,2,512,Morning_Clean
742,2,512,Morning_Clean
743,2,512,Morning_Clean
744,2,512,Morning_Clean
745,2,512,Morning_Clean
746,2,512,Morning_Clean
747,2,512,Morning_Clean
748,2,512,Morning_Clean
749,2,512,Morning_Clean
750,2,512,Morning_Clean
751,2,512,Morning_Clean
752,2,512,Morning_Clean
753,2,512,Morning_Clean
754,2,512,Morning_Clean
755,2,512,Morning_Clean
756,2,512,Morning_Clean
757,2,512,Morning_Clean
758,2,512,Morning_Clean
759,2,512,Morning_Clean
760,2,512,Morning_Clean
761,2,512,Morning_Clean
762,2,512,Morning_Clean
763,2,512,Morning_Clean
764,2,512,Morning_Clean
765,2,512,Morning_Clean
766,2,512,Morning_Clean
767,2,512,Morning_Clean
768,2,512,Morning_Clean
769,2,512,Morning_Clean
770,2,512,Morning_Clean
771,2,512,Morning_Clean
